STEPS, CRR, RB
275,0.00733212,0.00609089
276,0.00399833,0.00480848
277,0.00709963,0.0060081
278,0.00420088,0.00481633
279,0.00686748,0.0059265
280,0.00439619,0.00482378
281,0.00663567,0.00584606
282,0.00458444,0.00483083
283,0.00640425,0.00576676
284,0.00476584,0.00483751
285,0.00617323,0.00568857
286,0.00494056,0.00484382
287,0.00594263,0.00561147
288,0.00510879,0.00484977
289,0.00571247,0.00553544
290,0.00527071,0.00485537
291,0.00548277,0.00546045
292,0.00542648,0.00486064
293,0.00525355,0.00538649
294,0.00557627,0.00486558
295,0.00502483,0.00531353
296,0.00572023,0.0048702
297,0.00479662,0.00524156
298,0.00585852,0.00487452
299,0.00456893,0.00517055
300,0.0059913,0.00487853
301,0.00434179,0.00510048
302,0.0061187,0.00488225
303,0.0041152,0.00503134
304,0.00624087,0.00488569
305,0.00388918,0.0049631
306,0.00635794,0.00488885
307,0.00366375,0.00489576
308,0.00647005,0.00489174
309,0.0034389,0.00482928
310,0.00657732,0.00489437
311,0.00321466,0.00476367
312,0.00667988,0.00489674
313,0.00299103,0.00469889
314,0.00677785,0.00489887
315,0.00276802,0.00463493
316,0.00687134,0.00490076
317,0.00254565,0.00457178
318,0.00696048,0.00490241
319,0.00232392,0.00450942
320,0.00704537,0.00490384
321,0.00210283,0.00444784
322,0.00712612,0.00490505
323,0.0018824,0.00438703
324,0.00720283,0.00490604
325,0.00166263,0.00432696
326,0.00727561,0.00490682
327,0.00144354,0.00426763
328,0.00734455,0.0049074
329,0.00122511,0.00420901
330,0.00740975,0.00490777
331,0.00100737,0.00415111
332,0.00747131,0.00490796
333,0.000790319,0.0040939
334,0.0075293,0.00490796
335,0.000573956,0.00403738
336,0.00758383,0.00490777
337,0.000358288,0.00398153
338,0.00763498,0.00490741
339,0.00014332,0.00392633
340,0.00768283,0.00490687
341,-7.09436e-05,0.00387179
342,0.00772746,0.00490617
343,-0.0002845,0.00381788
344,0.00776895,0.0049053
345,-0.000497347,0.00376459
346,0.00780738,0.00490427
347,-0.00070948,0.00371192
348,0.00784282,0.00490308
349,-0.000920897,0.00365986
350,0.00787534,0.00490174
351,-0.0011316,0.00360838
352,0.00790502,0.00490026
353,-0.00134157,0.0035575
354,0.00793192,0.00489863
355,-0.00155083,0.00350718
356,0.00795611,0.00489686
357,-0.00175936,0.00345743
358,0.00797765,0.00489496
359,-0.00196717,0.00340823
360,0.00799662,0.00489292
